Rattachement administratif	Projet-equipe	serveur	stockage	aci	cluster	reseaux	baie	modele	numero de serie	nombre u	id u	puissance totale	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
UGA	reseauUGA			X			a1	inconnu	Imag-bb	1	U16	0									X																																																												X																																																			
UGA	reseauUGA			X			a1	Juniper SRX-1200	Imag-fw	1	U15	0																																											X																																																												X																	
UGA	reseauUGA			X			a1	switch	Imag-ltp-desserte-sw1	1	U11	0															X																																																												X																																													
UGA	reseauUGA			X			a1	switch	Imag-ltp-desserte-sw2	1	U9	0																																															X																																																												X													
UGA	reseauUGA			X			a1	autre	spring-dc3-fw	1	U7	0																	X																																																												X																																											
UGA	reseauUGA			X			a2	Graveur DVD-ROM KIKvision		2	U21-U22	0																																																													X																																																											
UGA	reseauUGA	X		X			a2	SuperMicro		5	U16-U20	0																																					X																																																																																			
UGA	reseauUGA			X			a2	switch	Imag-rg-a-sw	1	U14	0																	X																																																																																																							
UGA	reseauUGA			X			a2	switch	Imag-rg-a-sw	1	U12	0															X																																																																																																									
UGA	reseauUGA			X			a2	switch	Imag-rg-a-sw	1	U10	0																																															X																																																																									
UGA	reseauUGA			X			a2	switch	Imag-rg-a-sw	1	U8	0																																													X																																																																											
UGA	reseauUGA		X	X			a3	synologie		1	U21	0																																																																													X																																											
UGA	reseauUGA	X		X			a3	IBM		1	U20	0																																											X																																																																													
UGA	reseauUGA	X		X			a3	IBM		1	U19	0																																																																						X																																																		
UGA	reseauUGA			X			a3	switch APC		1	U17	0																																																																																	X																																							
UGA	reseauUGA			X			a3	switch APC		1	U15	0																																																																																		X																																						
UGA	reseauUGA			X			a3	switch APC		1	U13	0																																																																																			X																																					
UGA	reseauUGA			X			a3	switch APC		1	U11	0																																																																																																														X										
UGA	reseauUGA			X			a3	switch APC		1	U9	0																																																																																																															X									
UGA	reseauUGA			X			a3	switch APC		1	U7	0																																																																																																																X								
UGA	reseauUGA			X			a3	switch APC		1	U5	0																																																																																																																	X							
UGA	reseauUGA			X			a4	switch	LEAF 312	1	U42	0																																																																																											X																													
UGA	reseauUGA			X			a4	switch 	imag-dc-312-sw	1	U41	0																																																													X																																																											
UGA	GRICAD				X		a4	CT OpenStack	CTRL openstack-01	1	U40	0																																																																																												X																												
UGA	GRICAD				X		a4	CT OpenStack	CTRL openstack-02	1	U39	0																																																																																													X																											
UGA	GRICAD				X		a4	CT OpenStack	CTRL openstack-03	1	U38	0																																																																																														X																										
UGA	GRICAD				X		a4	CT OpenStack	Openstack-c-01	1	U37	0																																																																																															X																									
UGA	GRICAD				X		a4	CT OpenStack	Openstack-c-02	1	U36	0																																																																																																X																								
UGA	GRICAD				X		a4	CT OpenStack	Ceph-s-03	1	U20	0																																																																																																				X																				
UGA	GRICAD				X		a4	CT OpenStack	Ceph-s-02	1	U19	0																																																																																																					X																			
UGA	GRICAD				X		a4	CT OpenStack	Ceph-s-01	1	U18	0																																																																																																						X																		
UGA	GRICAD				X		a4	CT OpenStack	Ceph-03	1	U17	0																																																																																																							X																	
UGA	GRICAD				X		a4	CT OpenStack	Ceph-02	1	U16	0																																																																																																								X																
UGA	GRICAD				X		a4	CT OpenStack	Ceph-01	1	U15	0																																																																																																									X															
